Entry,pstr_c3,pstr_c5,pstr_c7,pstr_c8,pstr_d3,pstr_d5,pstr_d7
Q9LTH7,13,21,18,11,28,6,0
Q9LTI3,35,27,22,12,43,7,4
Q9LTS6,28,38,54,36,63,8,15
Q9LTS7,4,0,22,1,18,14,2
Q9LTV6,86,47,106,18,76,3,0
Q9LTV8,214,154,251,205,183,29,17
Q9LTX4,8,42,92,28,43,3,6
Q9LTY1,223,141,419,218,213,21,32
Q9LU44,219,164,252,202,215,44,35
Q9LU46,76,63,241,149,104,14,12
Q9LU85,4,14,18,1,19,0,4
Q9LU89,177,111,249,132,212,33,11
Q9LUD7,260,83,430,121,165,9,11
Q9LUJ4,0,0,0,0,0,0,0
Q9LUT2,73,49,175,58,60,5,0
Q9LV03,0,0,0,0,0,0,4
Q9LV93,47,52,143,20,97,7,7
Q9LVA7,281,286,407,254,256,44,27
Q9LVE4,94,77,164,43,138,14,6
Q9LVJ0,313,203,301,177,294,51,35
Q9LVM1,35,21,32,38,50,2,2
Q9LVQ8,73,146,375,110,84,33,0
Q9LVV5,22,21,24,25,39,4,0
Q9LW15,215,304,692,199,244,91,24
Q9LW26,89,105,469,159,167,20,17
Q9LW57,12,19,22,11,22,1,0
Q9LW84,210,108,118,154,106,37,31
Q9LX20,29,10,113,27,24,0,0
Q9LX31,301,268,659,363,342,77,34
Q9LX49,134,70,225,137,153,5,6
Q9LXA8,171,88,250,152,153,35,5
Q9LXC9,162,187,924,214,299,38,19
Q9LXF8,18,24,22,4,32,7,0
Q9LXG1,652,1008,1686,653,594,249,66
Q9LXI4,202,260,787,336,302,44,41
Q9LXI7,40,22,29,68,52,0,0
Q9LXT3,1078,717,2819,1142,1206,160,79
Q9LXT4,0,5,10,3,12,6,0
Q9LXW3,21,5,21,3,1,0,5
Q9LY50,166,52,187,98,52,0,3
Q9LY75,28,17,34,17,46,7,3
Q9LYA9,14,38,66,0,30,5,0
Q9LYJ9,41,134,27,41,29,43,8
Q9LYN7,236,262,813,358,273,58,39
Q9LYR5,16,45,14,1,23,5,5
Q9LYW5,0,17,34,24,16,9,1
Q9LYZ7,272,332,414,192,204,109,26
Q9LYZ9,1359,832,1725,794,1021,175,128
Q9LZ08,199,88,315,154,193,31,40
Q9LZ17,419,22,851,664,455,0,18
Q9LZ82,219,209,499,299,284,49,56
Q9LZ98,79,69,225,39,97,14,1
Q9LZA6,61,31,102,71,47,10,9
Q9LZF7,41,57,112,23,28,4,0
Q9LZH9,188,140,205,137,136,22,35
Q9LZK5,39,29,53,12,75,0,13
Q9LZQ9,220,121,306,123,206,36,26
Q9LZS3,159,83,254,85,87,15,3
Q9M001,5,2,20,1,6,2,0
Q9M041,41,35,87,51,36,12,15
Q9M076,0,0,0,0,0,0,0
Q9M081,67,47,112,42,90,10,8
Q9M099,111,98,302,149,140,39,7
Q9M0E2,754,615,1388,798,715,215,100
Q9M0E5,24,8,45,3,30,7,0
Q9M0E6,33,39,38,33,52,20,8
Q9M0N1,88,28,150,55,102,13,7
Q9M0S5,157,148,359,208,222,48,33
Q9M0V0,62,92,182,25,107,57,4
Q9M0Y8,156,148,290,174,204,42,16
Q9M0Z3,48,38,72,26,52,17,1
Q9M101,23,28,40,0,19,0,0
Q9M1H3,328,278,182,398,71,107,19
Q9M1K2,665,466,1160,460,772,136,96
Q9M1K5,681,697,2578,771,769,198,46
Q9M1Q9,0,0,0,0,0,0,0
Q9M1R2,41,12,37,12,32,22,4
Q9M1V9,26,30,127,32,51,6,7
Q9M271,27,32,79,12,18,0,7
Q9M291,20,13,78,7,25,3,5
Q9M2D2,64,50,113,83,139,15,7
Q9M2E2,6,11,5,10,3,0,0
Q9M2F1,1301,929,2711,2104,1241,300,127
Q9M2G7,31,8,17,5,20,0,0
Q9M2S6,39,13,46,19,23,2,1
Q9M2T9,54,101,134,135,173,20,24
Q9M302,30,20,54,45,69,4,3
Q9M304,363,202,674,240,259,36,29
Q9M354,38,44,112,54,45,9,5
Q9M390,0,17,19,2,4,2,0
Q9M3D2,0,0,0,0,0,0,0
Q9M3G7,41,33,56,49,73,12,9
Q9M3H5,23,38,72,7,65,6,0
Q9M3V8,0,0,0,0,0,0,0
Q9M4B5,177,125,232,234,169,28,53
Q9M4G4,24,41,170,25,48,8,2
Q9M571,39,24,30,11,26,6,0
Q9M622,33,31,110,57,69,3,4
Q9M643,7,37,38,26,16,21,9
Q9M7R0,31,13,60,14,35,5,0
Q9M888,374,303,1105,362,449,65,36
Q9M8D3,86,45,144,73,13,12,0
Q9M8J2,82,91,67,71,63,12,7
Q9M8J9,1107,900,1503,970,998,205,134
Q9M8K7,101,78,206,93,112,26,16
Q9M8L9,141,168,220,134,142,30,4
Q9M8R7,58,31,34,26,43,18,5
Q9M8S6,108,81,124,45,94,14,4
Q9M8S8,1,4,20,17,8,0,0
Q9M8T9,31,13,24,4,22,5,2
