Entry,cnat_c2,cnat_c3,cnat_c4,cnat_c6,cnat_c8,cnat_d2,cnat_d3,cnat_d4,cnat_d6,cnat_d8
Q5IS75,35,146,382,6,2,97,257,1588,0,17
Q5IZC5,2280,2769,661,1146,1401,1665,7748,941,707,5192
Q5J6M8,1537,1108,2001,487,637,2512,1230,3885,111,568
Q5JI69,1,75,108,3,0,9,70,80,0,0
Q5JLQ9,0,0,0,0,0,0,0,0,0,0
Q5JPI3,85,82,103,21,21,80,56,101,0,32
Q5JRX3,59,3,16,22,1,49,11,32,0,2
Q5JS13,0,0,0,0,0,0,0,0,0,0
Q5JS54,301,698,752,200,215,216,883,741,47,192
Q5JTD7,1224,465,652,433,203,2235,1354,1628,294,577
Q5JU00,175,210,239,78,22,166,425,451,21,59
Q5JVF3,105,260,267,15,0,107,252,187,0,14
Q5JVL4,286,106,272,44,82,483,231,700,36,31
Q5K2C1,0,0,0,0,0,0,0,0,0,0
Q5KTC7,371,92,363,56,31,2203,534,1886,187,77
Q5KWC4,0,0,0,0,0,0,0,0,0,0
Q5KWZ8,0,0,0,0,0,0,0,0,0,0
Q5LN38,0,0,0,0,0,0,0,0,7,0
Q5M731,0,79,96,0,0,0,96,56,0,0
Q5M7D8,173,112,151,56,53,199,170,171,14,99
Q5M7F8,47,47,62,9,1,11,130,86,0,5
Q5M7M7,1177,324,834,217,316,2713,911,2029,365,207
Q5M7N9,3907,870,2653,726,573,2386,681,1219,622,333
Q5M7U6,224,6,34,60,48,83,4,4,0,18
Q5M821,0,0,0,0,0,0,0,0,0,0
Q5M823,37,107,128,20,27,64,84,144,0,16
Q5M824,476,69,412,61,71,255,99,120,77,19
Q5M856,43,124,80,8,20,17,109,10,0,7
Q5M8G4,277,220,231,135,95,213,215,201,51,173
Q5M8K8,244,225,204,90,181,298,273,306,29,131
Q5M8N0,115,153,136,48,72,107,73,56,4,28
Q5M8V2,145,35,230,33,70,50,46,99,0,35
Q5M8W9,282,228,220,97,84,213,252,268,54,109
Q5M900,5,128,154,0,1,0,115,113,0,0
Q5M9B7,2411,2131,1381,1587,3769,2027,1823,1196,1303,2156
Q5M9H0,259,142,159,72,28,234,154,233,13,41
Q5M9N4,185,163,195,65,9,200,221,190,29,28
Q5MB13,198,225,240,93,58,184,130,184,0,81
Q5MJ12,0,0,0,0,0,0,0,1,0,0
Q5MNU5,331,272,304,105,66,402,515,434,11,104
Q5MPA9,1226,474,1096,281,221,1797,721,797,243,188
Q5N1S9,9,507,413,0,0,0,451,331,1,0
Q5N2X5,2,14,13,0,0,0,8,8,0,0
Q5N3E5,0,4,0,0,4,0,0,0,0,0
Q5N800,0,3,0,0,0,0,0,0,0,0
Q5NA18,110,86,87,54,86,80,130,133,13,52
Q5NAT0,0,0,0,0,0,0,0,1,0,0
Q5NAV3,0,0,0,0,0,0,0,0,0,0
Q5NB82,0,5,0,0,0,0,1,3,0,0
Q5NBP9,0,0,0,0,0,0,0,0,0,0
Q5NC57,218,127,205,67,133,390,299,241,52,235
Q5NCX5,291,197,209,154,152,204,184,191,25,215
Q5NDL3,572,139,173,277,102,518,206,243,66,418
Q5NPS5,419,135,246,11,0,1100,1633,3623,147,8
Q5NVB5,1079,928,767,363,727,785,1336,1579,399,593
Q5NVC1,494,96,66,99,30,418,136,132,26,45
Q5NVD0,3480,1181,1751,1022,1214,4712,1924,3199,867,1707
Q5NVD7,725,191,333,243,406,700,297,557,202,468
Q5NVI6,4047,2395,2291,1286,987,6452,5127,7841,1002,3008
Q5NVI9,287,27,145,40,9,598,63,172,54,27
Q5NVM7,0,0,0,0,0,0,1,0,0,0
Q5NVN7,646,32,60,463,44,379,42,103,0,46
Q5NVP8,141,97,134,52,22,176,147,155,56,63
Q5NYD9,0,19,13,1,0,3,5,11,0,0
Q5P6Y9,0,0,0,0,0,0,0,0,0,0
Q5P9E0,0,88,56,0,0,0,68,38,0,1
Q5PNZ1,0,35,37,0,15,1,35,19,0,0
Q5PP32,54,46,34,33,25,57,37,37,14,37
Q5PP37,0,32,44,0,0,0,22,32,0,0
Q5PPI1,3,233,186,0,0,0,223,139,0,0
Q5PPI3,622,280,358,201,99,660,387,561,64,185
Q5PPL3,0,0,0,0,0,0,0,0,0,0
Q5PPV3,300,241,378,98,149,637,516,575,67,400
Q5PPZ5,1233,509,530,789,208,767,400,188,88,523
Q5PPZ9,641,315,295,353,225,290,297,320,0,117
Q5PQ09,464,467,476,208,287,517,613,386,89,389
Q5PQ23,60,38,96,32,4,27,36,43,0,2
Q5PQ27,0,0,0,0,0,0,0,0,0,0
Q5PQ44,178,138,131,45,94,181,183,230,23,59
Q5PQ50,209,79,144,52,161,212,99,191,47,141
Q5PQ59,88,49,49,124,68,66,52,49,0,69
Q5PQJ7,30,8,16,4,0,37,12,57,0,0
Q5PQJ9,357,325,343,95,67,476,471,526,55,141
Q5PQN0,17,2,20,7,0,4,2,3,0,7
Q5PQN1,16,529,902,0,1,0,520,561,0,9
Q5PQS6,0,5,14,0,0,0,6,18,0,0
Q5PRC1,248,963,384,56,175,191,1217,400,66,183
Q5PRC7,277,113,126,88,41,493,160,233,26,202
Q5PRD0,1115,191,604,141,151,1600,188,479,213,70
Q5PRE5,4568,2599,3821,816,1104,4751,3836,3157,717,1302
Q5PU49,583,122,483,115,83,1324,365,824,158,36
Q5PYH7,4193,1593,3298,1268,830,4107,2643,3494,425,1576
Q5Q995,1339,1038,607,577,2441,2046,1906,1435,1179,2384
Q5QD08,3,4,4,0,5,1,4,2,0,5
Q5QD16,0,24,18,0,0,0,25,7,0,0
Q5QD21,35,135,24,4,11,43,121,77,0,17
Q5QD24,7,15,21,7,0,19,6,8,0,20
Q5QJ74,36,52,76,18,0,33,68,149,17,3
Q5QJC3,0,0,0,0,0,0,0,0,0,0
Q5QJE6,182,97,134,42,58,321,184,265,27,109
Q5QNI2,798,1181,1783,576,395,264,1102,297,103,529
Q5QNQ6,1249,614,751,502,619,1304,918,1358,240,818
Q5QQ53,228,334,347,34,38,139,223,114,0,62
Q5R0L7,0,0,0,1,0,0,0,0,0,0
Q5R1W5,1352,938,1300,469,659,1548,1405,1482,315,1073
Q5R2J2,5502,5155,2763,1911,5681,10416,10087,8760,6719,7442
Q5R372,0,0,0,0,0,0,0,0,0,0
Q5R3I4,811,256,638,200,106,1411,296,739,125,207
Q5R405,276,56,240,82,38,263,134,289,76,24
Q5R407,422,159,192,174,219,652,278,328,94,281
Q5R410,0,0,0,0,0,0,0,0,0,0
Q5R416,3,8,20,0,0,21,21,65,0,0
Q5R469,2967,1355,1225,2157,672,2119,1941,1244,179,1534
Q5R478,0,0,0,0,0,0,0,0,0,0
Q5R4A0,953,273,482,299,169,998,820,2078,76,267
Q5R4A6,64,6,22,25,31,67,31,30,0,52
Q5R4D4,1764,735,758,436,618,2534,1557,2550,282,1437
Q5R4F4,148,11,82,10,0,200,37,88,8,0
Q5R4G0,0,0,0,0,0,0,0,3,0,0
Q5R4G2,251,21,162,17,5,449,93,370,33,3
Q5R4G6,1216,574,673,396,478,1803,1085,1244,244,792
Q5R4I3,977,224,505,350,212,1022,441,993,307,255
Q5R4J5,59,67,69,42,46,46,32,50,18,29
Q5R4J9,624,95,284,104,80,821,265,519,45,54
Q5R4K9,1099,503,838,459,594,650,678,1072,190,693
Q5R4M8,866,392,721,212,125,1291,849,971,100,178
Q5R4Q7,0,27,92,0,0,0,45,55,0,0
Q5R4R4,0,216,266,0,0,0,197,153,0,0
